CUSTOMER ID,USER NAME,PRODUCT ID,PRODUCT NAME,Text,SENTIMENT LABEL,SENTIMENT SCORE
C0001,Renu Soni,P0001,Maagi,My favourite all tome,neutral,0.5
C0002,Ganesh Vasudevan,P0002,Maagi,"#MAGGI #MAGGIBowl #MAGGILove
Wholesome MAGGI",neutral,0.5
C0003,Sibongile Mamillion Maphalala,P0003,Maagi,My life in Maggi form is exclusive and versatile.,neutral,0.5
C0004, Lawrence,P0004,Maagi,"'It is a vibethunder, rain, a blow of wind, and spicy Maggi.
Life is only once i don't know why i am here..Nature itself had a vibe.",neutral,0.5
C0005,Kunal,P0005,Maagi,2 minutes ki khushi ??,neutral,0.5
C0006,Shyani Das Adhikary,P0006,Maagi,,neutral,0.5
C0007,Shafi Ghiasy,P0007,Maagi,SSS,neutral,0.5
C0008,Varun Anand Vyas,P0008,BarbequeNation,"Totally disappointed with my visit to Barbeque Nation today. What was supposed to be a happy birthday celebration turned into a frustrating experience. The staff seemed completely untrained and confused  no coordination at all. Honestly, Barbeque Nation has lost its charm and quality over time. This was my last visit. Really expected better on a special day. ??",neutral,0.5
C0009,Angela Taylor,P0009,BarbequeNation,The best Indian meal I have had in a long time. The butter chicken was to die for. ??,neutral,0.5
C0010,Md.Abdullah Rana ,P0010,BarbequeNation,Thanks ?? for best  service & great food quality.,neutral,0.5
C0011,Neha Singh,P0011,BarbequeNation,Tried previous month..booking done for this month as well.,neutral,0.5
C0012,Dominic Fernandes,P0012,BarbequeNation,"Dear Team Barbeque Nation,  
I recently had the pleasure of dining at your Kurla Phoenix Market City outlet on 27th November, and I must say, the experience was absolutely fantastic! In fact, were already planning our next visit!  The food was truly exceptional. The mutton was perfectly cooked - soft, tender, juicy, and spiced to perfection. The prawns were customized exactly to our preferred level of spiciness, making every bite a delight.  
A special shoutout to Ajith, Brijesh, and Pappu, who went above and beyond to ensure a seamless experience for my family. They anticipated my parents needs and brought everything directly to our table, allowing them to enjoy the meal without any inconvenience.  
Both the food and the service were impeccable, and we left with happy hearts and full stomachs.  
I do have one small suggestion: If Caramel Custard could be added to the dessert options, it would make our next visit even more irresistible.  
A big thank you to the entire team and the chefs for crafting such a memorable dining experience. Youve truly mastered the art of pampering your guests and catering to their taste buds.  
Looking forward to our next visit soon! 
Dominic",neutral,0.5
C0013,Mohammed Sanoj,P0013,BarbequeNation,"Excellent experience  we were taken care of in the best possible way 
Lohit and Roy were excellent  Kudos 
Visited on 10/09/2024 at Karama, Dubai",neutral,0.5
C0014,Neha Pandey,P0014,BarbequeNation,"I visited Barbeque for my birthday celebration and had worst experience of everything l can image. The first thing for which we went was food and the food was so tasteless. Everytime l took anything from the buffet it was taste less or cold. They said ma'am l can customise the things but all went in vain. The white sauce pasta was devoid of any taste. I can cook a better pasta than their chef. The chilli garlic noodles was without and chilly and garlic. The malai kulfi and kesar kulfi also lacked flavours. The brownie was too dry unlike a brownie last but not the least the restaurant had not some of the items it had in the menu. Not only that, l asked the restaurant staff to lessen the temperature of the AC and they did not look into that as well. All the time we were seated in a less cooler zone of the restaurant. The service also was not prompt. We had to ask for few things time and again. As a whole, avoid going to laxminagar restaurant of barbecue nation's chain as l really feel it not worth the money l spend. l had good experience at other places such as CP, Noida etc. but this place was horrendous.",neutral,0.5
C0015,Nitesh Sharma Music,P0015,BarbequeNation,Bad Quality Food Serve by Barbeque Nation Virar Branch n Also their Representative Said no one can See your bad experience so I write here so people will notice n not order from this Restaurant,neutral,0.5
C0016,Shrikant Patil,P0016,BarbequeNation,"poor service, staff is very arogant and they are behaving like that they don't need customers. Very worse restaurant. they are making fool with their apps and advertisement. reallity at restaurant is different.
don't go to Nashik Barbeque Nation.",neutral,0.5
C0017,Ravi Ranjan Choudhary,P0017,BarbequeNation,"1. No best quality food 
2. Never  booked for party
3. These items cant be served my friends on 2 march 2024, Barbeque nation Durgapur 
4. This is one type of scam, in which RM of eastern zone is involved.",neutral,0.5
C0018,Mahesh Mishra,P0018,BarbequeNation,"We were big fan of BBQ, but this time experience with BBQ was horrible, had a team lunch on 19th. Focus on closing was very high then the focus on what customer needs, team serving were good and friendly, however the food served was cold, after repeatedly telling them, they went on. The best part, while paying the bill one guys comes and explains ""sir if any problem please tell me"" then "" sir please rate us above ""excellent"" otherwise we will not get incentives. Trust me this was not the BBQ, we came for. BBQ has lost its actual charm. Disappointed, clearly reflects that the staff is not well trained on customer handling. Call me on 9177630006 if you want to know more..",neutral,0.5
C0019,Manish Anand,P0019,BarbequeNation,Worst Service at Unity one Janakpuri New Delhi,neutral,0.5
C0020,Nilesh Rawool,P0020,BarbequeNation,I wanted to redeemed happiness coupon after dinner. But billing staff is very untrained and unprofessional wastage one hours to sattle my final bill amount at dadar kohinoor outlet.,neutral,0.5
C0021,Washim Baulum,P0021,BarbequeNation,"I am writing to express my extreme disappointment with the service my family and I received at your Kohinoor Square location recently. Note that I do not reside in India, im from Mauritius. The level of service we encountered was not only poor but also left us questioning the professionalism of your staff.
Upon our arrival at Kohinoor Square Barbeque Nation, we were excited to enjoy a meal at one of our favorite restaurants. However, our excitement quickly turned into frustration as we were left waiting for more than 25 minutes without any server coming to our table. To make matters worse, another group of guests who arrived after us were promptly assisted while we continued to be ignored. It is deeply concerning to us that we were subjected to such neglect, and we couldnt help but wonder if this treatment had anything to do with my sister wearing a hijab. Discrimination of any kind is entirely unacceptable and goes against the principles of inclusivity and equal treatment that should be upheld by any reputable establishment.
When my wife finally approached the manager to address our concerns, we were met with a perplexed and disinterested response. This lack of empathy and willingness to assist only added to our frustration.We had always held Barbeque Nation in high regard for its excellent food and service, but this experience has shattered our expectations. We could never have imagined receiving such terrible service from a company with your reputation.I strongly believe that this incident should not be taken lightly, and I am inclined to share my experience on social media to ensure that others are aware of the subpar service we encountered at Kohinoor Square Barbeque Nation.I urge you to investigate this matter thoroughly and take appropriate actions to ensure that such incidents do not recur in the future. Your swift response and corrective measures will be crucial in restoring our faith in your brand.
#Disappointed #BarbequeNationKohinoorSquare #india #badservice #poorservice #discrimination #unprofessionalism #staffs",neutral,0.5
C0022,Jaggi Pandey,P0022,BarbequeNation,I had a pathatic experience with them they called me themself and promise that they will send me the lunch next day to my home for the bad exp i had with there food and i never rec my no is 9871633619,neutral,0.5
C0023,Sparsh Nath Vlogs,P0023,BarbequeNation,"They have given us excellent service during my daughter 1st Birthday, Specially Mr. Sanjay Negi and Mr Sagar Rawat both were extremely polite and courteous while service. They were purely Guest oriented and Guest focused. Best place to dine for.. Highly Recommend",neutral,0.5
C0024,Rajnish Mishra,P0024,BarbequeNation,"zero taste , zero varieties, sweets are bland",neutral,0.5
C0025,Sameer Sam,P0025,BarbequeNation,I visited today almost after 3 years with my friends plates n serving of sauce was in used in bowl n service was very poor n taste is almost gone no food variety as compare to others will surely never visit this place again,neutral,0.5
